"External ID","Display Name"
"__export__.product_category_728","Industrias Donsson / Filtros / Baldwin / Importado / Aire / Baldwin Aire Redondo"
"__export__.product_category_729","Industrias Donsson / Filtros / Baldwin / Importado / Aire / Baldwin Aire Sellado"
"__export__.product_category_731","Industrias Donsson / Filtros / Baldwin / Importado / Combustible"
"__export__.product_category_732","Industrias Donsson / Filtros / Baldwin / Importado / Combustible / Baldwin Combustible Elemento"
"__export__.product_category_733","Industrias Donsson / Filtros / Baldwin / Importado / Combustible / Baldwin Combustible Otros"
"__export__.product_category_734","Industrias Donsson / Filtros / Baldwin / Importado / Combustible / Baldwin Combustible Sellado"
"__export__.product_category_735","Industrias Donsson / Filtros / Baldwin / Importado / Enfriamiento"
"__export__.product_category_736","Industrias Donsson / Filtros / Baldwin / Importado / Enfriamiento / Baldwin Enfriamiento Otros"
"__export__.product_category_737","Industrias Donsson / Filtros / Baldwin / Importado / Enfriamiento / Baldwin Enfriamiento Sellado"
"__export__.product_category_738","Industrias Donsson / Filtros / Baldwin / Importado / Hidráulico "
"__export__.product_category_740","Industrias Donsson / Filtros / Baldwin / Importado / Hidráulico  / Baldwin Hidráulico Elemento "
"__export__.product_category_739","Industrias Donsson / Filtros / Baldwin / Importado / Hidráulico  / Baldwin Hidráulico Otros "
"__export__.product_category_741","Industrias Donsson / Filtros / Baldwin / Importado / Hidráulico  / Baldwin Hidráulico Sellado "
"__export__.product_category_1064","Industrias Donsson / Filtros / Donsson"
"__export__.product_category_1070","Industrias Donsson / Filtros / Donsson / Importado"
"__export__.product_category_1071","Industrias Donsson / Filtros / Donsson / Importado / Aire"
"__export__.product_category_1092","Industrias Donsson / Filtros / Donsson / Importado / Aire / Donsson Aire Cuadrado"
"__export__.product_category_1084","Industrias Donsson / Filtros / Donsson / Importado / Aire / Donsson Aire Redondo"
"__export__.product_category_1061","Industrias Donsson / Filtros / Donsson / Importado / Aire / Donsson Canal de Flujo"
"__export__.product_category_710","Industrias Donsson / Filtros / Donsson / Manufacturado"
"__export__.product_category_711","Industrias Donsson / Filtros / Donsson / Manufacturado / Aire"
"__export__.product_category_712","Industrias Donsson / Filtros / Donsson / Manufacturado / Aire / Donsson Aire Cuadrado"
"__export__.product_category_713","Industrias Donsson / Filtros / Donsson / Manufacturado / Aire / Donsson Aire Elemento Axial"
"__export__.product_category_714","Industrias Donsson / Filtros / Donsson / Manufacturado / Aire / Donsson Aire Elemento Radial"
"__export__.product_category_715","Industrias Donsson / Filtros / Donsson / Manufacturado / Aire / Donsson Aire Otros"
"__export__.product_category_716","Industrias Donsson / Filtros / Donsson / Manufacturado / Aire / Donsson Aire Redondo"
"__export__.product_category_1102","Industrias Donsson / Filtros / Donsson / Manufacturado / Aire / Donsson Canal de Flujo"
"__export__.product_category_742","Industrias Donsson / Filtros / Local"
"__export__.product_category_745","Industrias Donsson / Filtros / Local / Aceite"
"__export__.product_category_1003_1","Industrias Donsson / Filtros / Local / Aceite / Franig Aceite Elemento"
"__export__.product_category_1041","Industrias Donsson / Filtros / Local / Aceite / Cummins Aceite Sellado"
"__export__.product_category_795","Industrias Donsson / Filtros / Local / Aceite / Esp Aceite Elemento"
"__export__.product_category_796","Industrias Donsson / Filtros / Local / Aceite / Esp Aceite Sellado"
"__export__.product_category_760","Industrias Donsson / Filtros / Local / Aceite / Eurofil Aceite Elemento"
"__export__.product_category_909","Industrias Donsson / Filtros / Local / Aceite / Filcenter Aceite Elemento"
"__export__.product_category_904","Industrias Donsson / Filtros / Local / Aceite / Franig Aceite Sellado"
"__export__.product_category_878","Industrias Donsson / Filtros / Local / Aceite / Gforce Aceite Sellado"
"__export__.product_category_755","Industrias Donsson / Filtros / Local / Aceite / Icofil Aceite Otros"
"__export__.product_category_756","Industrias Donsson / Filtros / Local / Aceite / Icofil Aceite Sellado"
"__export__.product_category_1002_1","Industrias Donsson / Filtros / Local / Aceite / Niponautos Aceite Sellado"
"__export__.product_category_767","Industrias Donsson / Filtros / Local / Aceite / Interfil Aceite Elemento"
"__export__.product_category_768","Industrias Donsson / Filtros / Local / Aceite / Interfil Aceite Sellado"
"__export__.product_category_943","Industrias Donsson / Filtros / Local / Aceite / Ivor Aceite Elemento"
"__export__.product_category_746","Industrias Donsson / Filtros / Local / Aceite / Lualme Aceite Elemento"
"__export__.product_category_749","Industrias Donsson / Filtros / Local / Aceite / Master Aceite Elemento"
"__export__.product_category_750","Industrias Donsson / Filtros / Local / Aceite / Master Aceite Sellado"
"__export__.product_category_775","Industrias Donsson / Filtros / Local / Aceite / Niponautos Aceite Elemento"
"__export__.product_category_821","Industrias Donsson / Filtros / Local / Aceite / Occidental Aceite Elemento"
"__export__.product_category_822","Industrias Donsson / Filtros / Local / Aceite / Occidental Aceite Sellado"
"__export__.product_category_889","Industrias Donsson / Filtros / Local / Aceite / Otros Aceite"
"__export__.product_category_890","Industrias Donsson / Filtros / Local / Aceite / Otros Aceite Elemento"
"__export__.product_category_894","Industrias Donsson / Filtros / Local / Aceite / Otros Aceite Sellado"
"__export__.product_category_902","Industrias Donsson / Filtros / Local / Aceite / Powel Aceite Sellado"
"__export__.product_category_781","Industrias Donsson / Filtros / Local / Aceite / Premium Aceite Elemento"
"__export__.product_category_782","Industrias Donsson / Filtros / Local / Aceite / Premium Aceite Sellado"
"__export__.product_category_802","Industrias Donsson / Filtros / Local / Aceite / Propartes Aceite Elemento"
"__export__.product_category_803","Industrias Donsson / Filtros / Local / Aceite / Propartes Aceite Sellado"
"__export__.product_category_1112","Industrias Donsson / Filtros / Local / Aceite / Rativa Aceite Sellado"
"__export__.product_category_1036","Industrias Donsson / Filtros / Local / Aceite / Stewart aceite sellado"
"__export__.product_category_814","Industrias Donsson / Filtros / Local / Aceite / Superfilt Aceite Elemento"
"__export__.product_category_929","Industrias Donsson / Filtros / Local / Aceite / Tecneco Aceite Elemento"
"__export__.product_category_831","Industrias Donsson / Filtros / Local / Aceite / Tecnifilt Aceite Elemento"
"__export__.product_category_1035","Industrias Donsson / Filtros / Local / Aceite / Texim Aceite Elemento"
"__export__.product_category_1046","Industrias Donsson / Filtros / Local / Aceite / Texim Combustible sellado"
"__export__.product_category_762","Industrias Donsson / Filtros / Local / Aceite / Zarofil Aceite Elemento"
"__export__.product_category_743","Industrias Donsson / Filtros / Local / Aire"
"__export__.product_category_936","Industrias Donsson / Filtros / Local / Aire / Avante Aire Elemento Axial"
"__export__.product_category_946","Industrias Donsson / Filtros / Local / Aire / Capital filters Aire Cuadrado"
"__export__.product_category_1085","Industrias Donsson / Filtros / Local / Aire / Cummins Aire"
"__export__.product_category_744","Industrias Donsson / Filtros / Local / Aire / Drant Aire Redondo"
"__export__.product_category_797","Industrias Donsson / Filtros / Local / Aire / Esp Aire Cuadrado"
"__export__.product_category_798","Industrias Donsson / Filtros / Local / Aire / Esp Aire Redondo"
"__export__.product_category_761","Industrias Donsson / Filtros / Local / Aire / Eurofil Aire Cuadrado"
"__export__.product_category_923","Industrias Donsson / Filtros / Local / Aire / Filcenter Aire Cuadrado"
"__export__.product_category_908_1","Industrias Donsson / Filtros / Local / Aire / Filcenter Aire Cuadrado"
"__export__.product_category_907","Industrias Donsson / Filtros / Local / Aire / Filcenter Aire Redondo"
"__export__.product_category_922_1","Industrias Donsson / Filtros / Local / Aire / Filcenter Aire Redondo"
"__export__.product_category_921","Industrias Donsson / Filtros / Local / Aire / Filtrek Otros"
"__export__.product_category_1088","Industrias Donsson / Filtros / Local / Aire / Franig Aire Cuadrado"
"__export__.product_category_757","Industrias Donsson / Filtros / Local / Aire / Icofil Aire Elemento Radial"
"__export__.product_category_758","Industrias Donsson / Filtros / Local / Aire / Icofil Aire Redondo"
"__export__.product_category_769","Industrias Donsson / Filtros / Local / Aire / Interfil Aire Cuadrado"
"__export__.product_category_770","Industrias Donsson / Filtros / Local / Aire / Interfil Aire Redondo"
"__export__.product_category_933","Industrias Donsson / Filtros / Local / Aire / Lamaos Aire Canal de Flujo"
"__export__.product_category_934","Industrias Donsson / Filtros / Local / Aire / Lamaos Aire Redondo"
