product_name;producto_code;Suma de stock_actual;Suma de inventario_ideal;sucursal_nombre;clasificacion;Suma de valor_stock_actual;Suma de valor_stock_ideal;categoria_producto
BLS00475125;125 B7700;14;1;CALI;C;546317.94;39022.71;Filtro
DAB04025025;025 DA4025;14;1;CALI;C;160518.4;11465.6;Filtro
DAR03258025;025 DA3258;14;0;CALI;C;319455.78;0;Filtro
DLS00264189;189 GS264;14;2;CALI;C;247465.68;35352.24;Filtro
BCE00943125;125 PF7978;13;0;CALI;C;1817198.63;0;Filtro
BCS00011125;125 BF797;13;1;CALI;C;473940.87;36456.99;Filtro
BCS00701125;125 BF7696;13;1;CALI;C;760107.92;58469.84;Filtro
BHS00260125;125 BT38710;13;1;CALI;C;585590.33;45045.41;Filtro
BLE00007125;125 PT670;13;2;CALI;C;216444.67;33299.18;Filtro
BLE00969125;125 P40031MPG;13;0;CALI;C;2461069;0;Filtro
BLS00295125;125 BD7169;13;1;CALI;C;718814.46;55293.42;Filtro
BLS00548125;125 BD7250;13;1;CALI;C;1343306.77;103331.29;Filtro
BLS10052125;125 B301;13;0;CALI;C;178337.25;0;Filtro
DAR02273025;025 DA2273;13;0;CALI;C;1190215.13;0;Filtro
DCS30536137;137 R90-30M;13;1;CALI;C;514817.03;39601.31;Filtro
BAC00223125;125 PA5399;12;0;CALI;C;477744;0;Filtro
BCS00007125;125 BF7683;12;1;CALI;C;201301.56;16775.13;Filtro
BCS00298125;125 BF900;12;2;CALI;C;448483.08;74747.18;Filtro
BCS00689125;125 BF980;12;1;CALI;C;714631.56;59552.63;Filtro
BCS30168125;125 BF1282O;12;0;CALI;C;520356.12;0;Filtro
BHS00686125;125 BT9362MPG;12;1;CALI;C;2010396;167533;Filtro
BLS00086125;125 B75;12;1;CALI;C;572877;47739.75;Filtro
BLS00234125;125 BT267;12;1;CALI;C;320011.92;26667.66;Filtro
DAB04957025;025 DA4957;12;2;CALI;C;213792.48;35632.08;Filtro
DAR02981025;025 DA2981;12;2;CALI;C;386870.64;64478.44;Filtro
DAR04986025;025 DA4986;12;0;CALI;C;191639.88;0;Filtro
DAX00392189;189 GX392;12;1;CALI;C;162228;13519;Filtro
DCE20126138;138 2020V30;12;0;CALI;C;468513.72;0;Filtro
DLE00668189;189 G668;12;2;CALI;C;124894.56;20815.76;Filtro
BCE00606125;125 66;11;1;CALI;C;224640.46;20421.86;Filtro
BCE00781125;125 PF7982;11;1;CALI;C;653015.22;59365.02;Filtro
BHS00640125;125 BT260;11;0;CALI;C;238406.41;0;Filtro
BLS00072125;125 B95;11;2;CALI;C;515526.66;93732.12;Filtro
DAB04864025;025 DA4864;11;3;CALI;C;103730.66;28290.18;Filtro
DAB08011025;025 DA8011;11;1;CALI;C;169954.95;15450.45;Filtro
DAB08053025;025 DA8053;11;1;CALI;C;346850.35;31531.85;Filtro
DAB12768025;025 DA2768UHE;11;0;CALI;C;818480.96;0;Filtro
DAE02244025;025 DA2244;11;0;CALI;C;240447.68;0;Filtro
DAE02923025;025 DA2923;11;1;CALI;C;217965.99;19815.09;Filtro
DAR02264025;025 DA2264;11;1;CALI;C;395787.04;35980.64;Filtro
DCE00047137;137 RC253A;11;1;CALI;C;223980.68;20361.88;Filtro
BAC00224125;125 PA5580;10;1;CALI;C;547055;54705.5;Filtro
BCE00849125;125 PF7687;10;1;CALI;C;251031.7;25103.17;Filtro
BCS00208125;125 BF614;10;1;CALI;C;306079.7;30607.97;Filtro
BCS00282125;125 BF7657;10;2;CALI;C;398888.7;79777.74;Filtro
BCS00559125;125 BF1394SP;10;2;CALI;C;562417.1;112483.42;Filtro
BCS00709125;125 BF46099O;10;0;CALI;C;760084.7;0;Filtro
BCS10082125;125 BF7538;10;1;CALI;C;262402.7;26240.27;Filtro
BHS00316125;125 BT8307MPG;10;1;CALI;C;708653.9;70865.39;Filtro
BHS10167125;125 BT305;10;1;CALI;C;526880.8;52688.08;Filtro
BLS00050125;125 B228;10;2;CALI;C;182827.1;36565.42;Filtro
BLS00541125;125 B7215;10;0;CALI;C;254509.4;0;Filtro
BLS00578125;125 B7419;10;1;CALI;C;157420;15742;Filtro
BLS00732125;125 B7042;10;1;CALI;C;184409.6;18440.96;Filtro
BWS10084125;125 B5176;10;1;CALI;C;290466.7;29046.67;Filtro
DAB08063025;025 DA8063;10;0;CALI;C;277907.3;0;Filtro
DAC00233139;139 DAC233;10;0;CALI;C;230000;0;Otros
DAE00822189;189 GA822;10;1;CALI;C;81563.8;8156.38;Filtro
DAP18175189;189 DA8175;10;2;CALI;C;832511.7;166502.34;Filtro
DAR02017025;025 DA2017;10;1;CALI;C;218595.4;21859.54;Filtro
DAR02133025;025 DA2133;10;0;CALI;C;290817.4;0;Filtro
DCE00990189;189 G990;10;0;CALI;C;96300.5;0;Filtro
DCE30128137;137 2040PM;10;2;CALI;C;205083.4;41016.68;Filtro
DCS00235189;189 GS235;10;1;CALI;C;104674.2;10467.42;Filtro
DLE00634189;189 G634;10;0;CALI;C;52622;0;Filtro
BAS00719125;125 OAS98000;9;0;CALI;C;378611.55;0;Filtro
BCE00203125;125 PF872;9;1;CALI;C;119958.93;13328.77;Filtro
BCS00064125;125 BF592;9;1;CALI;C;199891.62;22210.18;Filtro
BCS00428125;125 BF7853;9;1;CALI;C;760878;84542;Filtro
BCS20364125;125 BF7906D;9;0;CALI;C;388800;0;Filtro
BCX00034125;125 B10AL;9;1;CALI;C;1146472.29;127385.81;Filtro
BLS00042125;125 B27;9;2;CALI;C;138485.16;30774.48;Filtro
BLS10077125;125 B7685;9;1;CALI;C;516626.64;57402.96;Filtro
BWS40078125;125 B5134;9;2;CALI;C;198232.2;44051.6;Filtro
BWS60078125;125 B5089;9;2;CALI;C;172461.96;38324.88;Filtro
DAB02654025;025 DA2654;9;1;CALI;C;477893.61;53099.29;Filtro
DAB04869025;025 DA4869;9;2;CALI;C;95189.94;21153.32;Filtro
DAB08118025;025 DA8118;9;1;CALI;C;402431.67;44714.63;Filtro
DAE01122189;189 GA1122;9;0;CALI;C;83482.56;0;Filtro
DAE04142025;025 DA4142;9;1;CALI;C;152517.06;16946.34;Filtro
DAE04315025;025 DA4315;9;1;CALI;C;190727.19;21191.91;Filtro
DAE09118025;025 DA9118;9;1;CALI;C;246007.89;27334.21;Filtro
DAE09194025;025 DA9194;9;0;CALI;C;238353.57;0;Filtro
DAP08050189;189 DA8050;9;0;CALI;C;491112;0;Filtro
DAR02036025;025 DA2036;9;0;CALI;C;441236.79;0;Filtro
DAR03114025;025 DA3114;9;2;CALI;C;290233.98;64496.44;Filtro
DCE00047125;125 BF884;9;1;CALI;C;311000.04;34555.56;Filtro
DCE00260048;048 PF10;9;2;CALI;C;378144;84032;Otros
DCE00685145;145 3090769;9;1;CALI;C;116826.12;12980.68;Otros
DCS00411189;189 GS411;9;1;CALI;C;89786.43;9976.27;Filtro
DCS00680189;189 GS680;9;2;CALI;C;140017.41;31114.98;Filtro
DLS00024189;189 GS024;9;1;CALI;C;76070.52;8452.28;Filtro
