product_name,producto_code,Suma de stock_actual,Suma de inventario_ideal,sucursal_nombre,clasificacion,Suma de valor_stock_actual,Suma de valor_stock_ideal,categoria_producto
BHS00116125,125 BT8830,2,3,CALI,B,135793.3,203689.95,Filtro
BLS00414125,125 BT8409,2,4,CALI,B,64718.28,129436.56,Filtro
BLS10141125,125 BD7309,2,3,CALI,B,174568.04,261852.06,Filtro
BWS30078125,125 BW5073,2,5,CALI,B,88752.2,221880.5,Filtro
DAB04024025,025 DA4024,2,5,CALI,B,74887.34,187218.35,Filtro
DAB04886025,025 DA4886,2,7,CALI,B,26302.16,92057.56,Filtro
DAB09151025,025 DA9151,2,9,CALI,B,34730.26,156286.17,Filtro
DAB09234025,025 DA9234,2,6,CALI,B,41318.6,123955.8,Filtro
DAC00210025,025 DAC210,2,11,CALI,B,34401.28,189207.04,Filtro
DAE02506025,025 DA2506,2,2,CALI,B,188482.16,188482.16,Filtro
DAE04175025,025 DA4175,2,7,CALI,B,53991.16,188969.06,Filtro
DAE04176025,025 DA4176,2,11,CALI,B,37393.24,205662.82,Filtro
DAR03370025,025 DA3370,2,7,CALI,B,73905.1,258667.85,Filtro
BAC00128125,125 PA5696,1,3,CALI,B,95078.29,285234.87,Filtro
BAE01069125,125 PA4318,1,3,CALI,B,58350.99,175052.97,Filtro
BAS00697125,125 OAS98061,1,3,CALI,B,241607.72,724823.16,Filtro
BHE00957125,125 PT23090MPG,1,3,CALI,B,98166.33,294498.99,Filtro
BHS00391125,125 BT8416,1,5,CALI,B,54844.63,274223.15,Filtro
BHS00392125,125 BT8440MPG,1,3,CALI,B,76390.04,229170.12,Filtro
BHS00410125,125 BT9371MPG,1,3,CALI,B,94157.4,282472.2,Filtro
BHS00571125,125 BT8393,1,4,CALI,B,45418.67,181674.68,Filtro
BHS00714125,125 BT23542MPG,1,3,CALI,B,185107.39,555322.17,Filtro
BLS00239125,125 BA5377,1,2,CALI,B,171891.59,343783.18,Filtro
DAB02816025,025 DA2816,1,5,CALI,B,34907.91,174539.55,Filtro
DAB08182025,025 DA8182,1,4,CALI,B,85912.09,343648.36,Filtro
DAB08250025,025 DA8250,1,10,CALI,B,28613.94,286139.4,Filtro
DAE02502025,025 DA2502,1,6,CALI,B,76454.48,458726.88,Filtro
DAE02518025,025 DA2518,1,3,CALI,B,108830.72,326492.16,Filtro
DAR02175025,025 DA2175,1,7,CALI,B,33626,235382,Filtro
DAR08054025,025 DA8054,1,5,CALI,B,17641.95,88209.75,Filtro
DAX00047025,025 DAX047,1,3,CALI,B,231087.99,693263.97,Filtro
BCE00987125,125 PF46137,0,5,CALI,B,0,296951.9,Filtro
BCS00134125,125 BF979,0,7,CALI,B,0,203955.08,Filtro
BCS00434125,125 BF1356,0,3,CALI,B,0,106665.27,Filtro
BCS00696125,125 BF46040D,0,3,CALI,B,0,169985.34,Filtro
BHE00640125,125 PT8385,0,2,CALI,B,0,197348.84,Filtro
BHS00587125,125 BT8904MPG,0,3,CALI,B,0,252535.62,Filtro
BSS00393125,125 OAS99047,0,2,CALI,B,0,478274.7,Filtro
DAB09250025,025 DA9250,0,7,CALI,B,0,130828.95,Filtro
DAE04160025,025 DA4160,0,4,CALI,B,0,105696.28,Filtro
DAE08235025,025 DA8235,0,5,CALI,B,0,230804.4,Filtro
DAP08203025,025 DA8203,0,9,CALI,B,0,258042.69,Filtro
DAP08203189,189 DA8203,0,6,CALI,B,0,188231.76,Filtro
DAR02527025,025 DA2527,0,3,CALI,B,0,183987.06,Filtro
DAR02545025,025 DA2545,0,3,CALI,B,0,275867.94,Filtro
DAR03067025,025 DA3067,0,6,CALI,B,0,184843.14,Filtro
DAR03072025,025 DA3072,0,4,CALI,B,0,205307.68,Filtro
DAR03077025,025 DA3077,0,3,CALI,B,0,112000.65,Filtro
DAR08040025,025 DA8040,0,8,CALI,B,0,271382.72,Filtro
DCE01027137,137 RE30J05MAQII,0,5,CALI,B,0,162445,Filtro
DCS00729137,137 R90-5MCJ-AQIII,0,7,CALI,B,0,471306.08,Filtro
