sucursal_nombre,producto_marca,product_name,producto_code,clasificacion,stock_actual,inventario_ideal,producto_costo_unitario,semana,ano
BARRANQUILLA,DONSSON,DAR02695025,025 DA2695,AAA,64,58,33710.44,34,2025
BARRANQUILLA,AUT*PARTS,DCS20115189,189 GS115,A,58,57,11697.66,34,2025
BARRANQUILLA,DONSSON,DAB02869025,025 DA2869,A,45,57,23915.49,34,2025
BARRANQUILLA,DONSSON,DAB08168025,025 DA8168,A,64,54,18729.84,34,2025
BARRANQUILLA,BALDWIN,BLS00049125,125 BT259,A,61,53,18338.23,34,2025
BARRANQUILLA,BALDWIN,BLS10045125,125 B161S,A,49,56,18445.43,34,2025
BARRANQUILLA,DONSSON,DAB02881025,025 DA2881,A,85,61,43315.8,34,2025
BARRANQUILLA,BALDWIN,BCE00601125,125 BF7725,A,52,55,8294.57,34,2025
BARRANQUILLA,DONSSON,DAR03113025,025 DA3113,A,54,56,25398.04,34,2025
BARRANQUILLA,BALDWIN,BCS00055125,125 BF909,A,55,56,35787.83,34,2025
BARRANQUILLA,BALDWIN,BCS00483125,125 BF5587D,A,51,50,42387.51,34,2025
BARRANQUILLA,AUT*PARTS,DCE00833189,189 G833,A,56,61,6807.98,34,2025
BARRANQUILLA,DONSSON,DAB08037025,025 DA8037,A,53,53,33506.24,34,2025
BARRANQUILLA,DONSSON,DAB02788025,025 DA2788,A,88,51,21285.17,34,2025
BARRANQUILLA,DONSSON,DAB02738025,025 DA2738,A,93,58,6922.56,34,2025
BARRANQUILLA,BALDWIN,BLS00267125,125 B7125,A,49,48,34006.5,34,2025
BARRANQUILLA,BALDWIN,BLS00320125,125 B7322,A,49,49,57993.83,34,2025
BARRANQUILLA,BALDWIN,BCS00063125,125 BF5810,A,56,52,19011.18,34,2025
BARRANQUILLA,BALDWIN,BCS10060125,125 BF587D,A,12,46,29094.82,34,2025
BARRANQUILLA,DONSSON,DAB02783025,025 DA2783,A,52,50,25921.71,34,2025
BARRANQUILLA,BALDWIN,BHS00337125,125 BT8382,A,16,50,89045.9,34,2025
BARRANQUILLA,AUT*PARTS,DCS00035189,189 GS035,A,0,64,5958.78,34,2025
BARRANQUILLA,BALDWIN,BCS10416125,125 BF7950D,A,7,47,40699.8,34,2025
BARRANQUILLA,AUT*PARTS,DLS00665189,189 GS665,A,22,49,22483.31,34,2025
BARRANQUILLA,DONSSON,DAR03066025,025 DA3066,A,81,48,19283.91,34,2025
BARRANQUILLA,BALDWIN,BLS10023125,125 BT261,A,46,46,20952.85,34,2025
BARRANQUILLA,BALDWIN,BCS00314125,125 BF7813,A,43,47,39299.13,34,2025
